"ID","PRIORITY","MESSAGE_TAG","TEXT"
28,1,M562,"Your patient currently has one or more severe major depressive symptoms including:  [bdss_score_depress_symptoms_severe].  [gender_pronoun] is not currently experiencing clinically significant side effects.  There are several possibilities you might want to consider for further treatment.  First verify that the patient is still compliant with the medication(s) you prescribed.  Next, check whether the patient has had adequate medication trials on the prescribed medications, particularly mood stabilizers such as lamotrigine and antipsychotic medications.  If not, consider increasing the dose of these medications, as tolerated, unless there are medical reasons for not doing so.  It is usually best to raise the dose of one medication at a time so you can judge the effectiveness of the medication.  If the medications you want to adjust are already at maximum dose, you might want to consider changing to another medication at the same treatment stage or moving the patient to the next treatment stage."
29,1,M563,"Your patient currently has one or more severe manic symptoms including ( [bdss_score_manic_symptoms_severe] ), and one or more severe major depressive symptoms including, ( [bdss_score_depress_symptoms_severe] ).  [Gender_pronoun] is not currently experiencing clinically significant side effects.  There are several possibilities you might want to consider for further treatment.  First verify that the patient is still compliant with the medication(s) you prescribed.  Next, check whether the patient has had adequate medication trials on the prescribed medications, particularly mood stabilizers such as lamotrigine and antipsychotic medications.  If not, consider increasing the dose of these medications, as tolerated, unless there are medical reasons for not doing so.  It is usually best to raise the dose of one medication at a time so you can judge the effectiveness of the medication.  If the medications you want to adjust are already at maximum dose, you might want to consider changing to another medication at the same treatment stage or moving the patient to the next treatment stage."
30,1,M564,"Your patient currently does not have any severe manic, depressive or psychotic symptoms or side effects."
31,1,M565,"Your patient currently has one or more severe manic symptoms including:  [bdss_score_manic_symptoms_severe] and psychotic symptoms.   [gender_pronoun] is not currently experiencing clinically significant side effects.  There are several possibilities you might want to consider for further treatment.  First verify that the patient is still compliant with the medication(s) you prescribed.  Next, check whether the patient has had adequate medication trials on the prescribed medications.  Antipsychotic medications are particularly effective in the treatment of psychotic symptoms associated with severe mania.  If [gender_pronoun] is taking an antipsychotic medication that has not had an adequate medication trial, consider increasing the dose of [antipsychotic_treatment] to treat these symptoms.  If [gender_pronoun] is not taking an antipsychotic medication consider changing medications within the current stage to include an antipsychotic medication or moving the patient to the next treatment guideline stage that includes an antipsychotic medication."
32,1,M566,"Your patient currently has one or more severe major depressive symptoms including:  [bdss_score_depress_symptoms_severe] and psychotic symptoms.   [gender_pronoun] is not currently experiencing clinically significant side effects.  There are several possibilities you might want to consider for further treatment.  First verify that the patient is still compliant with the medication(s) you prescribed.  Next, check whether the patient has had adequate medication trials on the prescribed medications.  Antipsychotic medications, such as quetiapine can be effective in the treatment of psychosis associated with severe depressive symptoms in bipolar disorder.  If [gender_pronoun] is taking an antipsychotic medication that has not had an adequate medication trial, consider increasing the dose of [antipsychotic medication] to treat these symptoms.  If [gender_pronoun] is not taking an antipsychotic medication consider changing medications within the current stage to include an antipsychotic medication or moving the patient to the next treatment guideline stage that includes an antipsychotic medication.<br/><br/>See:  Frye M. Bipolar disorder - a focus on depression. N Engl J Med. 2011;364:51-9."
33,1,M567,"Your patient currently has severe psychotic symptoms in addition to one or more severe manic symptoms including, ( [bdss_score_manic_symptoms_severe] ), and one or more severe major depressive symptoms including, ( [bdss_score_depress_symptoms_severe] ).  [gender_pronoun] is not currently experiencing clinically significant side effects.  There are several possibilities you might want to consider for further treatment.  First verify that the patient is still compliant with the medication(s) you prescribed.  Next, check whether the patient has had adequate medication trials on the prescribed medications, particularly mood stabilizers such as lamotrigine and antipsychotic medications.  If not, consider increasing the dose of these medications, as tolerated, unless there are medical reasons for not doing so.  It is usually best to raise the dose of one medication at a time so you can judge the effectiveness of the medication.  If the medications you want to adjust are already at maximum dose, you might want to consider changing to another medication at the same treatment stage or moving the patient to the next treatment stage.  If your patient is not taking an antipsychotic medication consider changing medications within the current stage to include an antipsychotic medication or moving the patient to the next treatment guideline stage that includes an antipsychotic medication."
34,1,M568,"Your patient currently has severe psychotic symptoms.  [gender_pronoun] is not currently experiencing clinically significant side effects.  If your patient is taking an antipsychotic medication that has not had an adequate medication trial, consider increasing the dose of [antipsychotic medication] to treat these symptoms.  If [gender_pronoun] is not taking an antipsychotic medication consider changing medications within the current stage to include an antipsychotic medication or moving the patient to the next treatment guideline stage that includes an antipsychotic medication."
35,1,M569,"Your patient currently has one or more severe manic symptoms including: [bdss_score_manic_symptoms_severe].  [gender_pronoun] is also experiencing clinically significant side effects.  The following suggestions should be considered in the context of treating and managing the patient's side effects.<br/><br/>There are several possibilities you might want to consider for further treatment.  First verify that the patient is still compliant with the medication(s) you prescribed.  Next, check whether the patient has had adequate medication trials on the prescribed mood stabilizer and/or antipsychotic medications.  If not, consider increasing the dose of these medications, as tolerated, unless there are medical reasons for not doing so.  Try to change one medication at a time so if the patient has a positive responds it will be clear what medication caused the response.  Antipsychotics may be the most useful to control the patient's manic symptoms.  If the patient is already at the maximum dose for these medications, consider switching to another antipsychotic or mood stabilizer in the same treatment stage.  Alternatively, consider moving the patient to the next stage of treatment."
78,1,M593,"There are 4 major side effects associated with FGA and SGA medications: 1) extrapyramidal symptoms including tardive dyskinesia (TD),  2) weight gain and metabolic syndrome,  3) prolactin elevation and its associated sexual side effects, and 4) QTc prolongation.  The risk of these side effects varies among the different antipsychotic medications.  A more detailed discussion of the treatment of side effects in patients suffering from schizophrenia, who are treated with antipsychotic medications,  can be found in the following resource (Buchanan 2010). <br/>( <a href=""http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2800144/pdf/sbp116.pdf"" target=""_blank"">http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2800144/pdf/sbp116.pdf</a> )<br/><br/>There appears to be general agreement in the clinical literature on how to manage side effects that emerge during psychopharmacological treatment.  The first step is to try lowering the medication causing the side effects.  The goal is to diminish or eradicate the side effects without affecting the therapeutic benefits of the medication.  If this approach is not successful an attempt can be made to address the side effects to make them tolerable.  This approach depends on the nature of the side effects.  If, for example, an SSRI is producing nausea, the dosing schedule for the medication can be changed so the patient takes the medication at meal time.  Similarly, if a patient gains excessive weight while taking antipsychotic medication, enrollment in a psychosocial weight reduction program or prescription of weight reduction medication may be helpful.  If the side effects cannot be effectively addressed the next option might be to change the medication.  If a patient has had a good clinical response to a medication, but is having problems with side effects, it might be useful to switch to another medication with the same mode of action but a different side effect profile.  For example, among the SGAs, olanzapine is known to have the highest incidence of weight gain.  Switching to aripiprazole or ziprasidone may help ameliorate the problems with weight gain.<br/><br/>Buchanan RW, Kreyenbuhl J, Kelly DL, et al. The 2009 Schizophrenia PORT Psychopharmacological Treatment Recommendations and Summary Statements. Schizophr Bull. 2010;36(1):71-93. <br/><a href=""http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2800144/pdf/sbp116.pdf"" target=""_blank"">http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2800144/pdf/sbp116.pdf</a><br/><br/>Schatzberg AF, Cole JO, DeBattista C, eds. Manual of Clinical Psychopharmacology. Washington, DC: American Psychiatric Publishing, Inc.; 2009."
70,1,M601,"Adjust the dose of lithium until the patient is in the therapeutic blood level range for the medication.  The recommended blood level for lithium, when it is used as a augmenting agent for the treatment of depression, is generally lower than the blood level recommended for treatment of bipolar mania.  ""Response often occurs at low dosages (600-1,200 mg/day) and at relatively low serum levels. Current data suggest that serum levels in the range of 0.5 to 0.8 mEq/L are effective in lithium augmentation of antidepressant effects.""<br/><br/>Manual of Clinical Psychopharmacology. Edited by Alan F. Schatzberg, Jonathan O. Cole, Charles DeBattista. Copyright 2009 American Psychiatric Publishing, Inc."
75,1,M606,Please note that in the current guideline for treatment of bipolar disorder (depressed) a traditional antidepressant medication is not recommended without concurrent prescription of a mood stabilizer or antipsychotic medication to lessen the likelihood of the antidepressant medication provoking a manic episode.
79,1,MNOTE,Sufficient data for calculating the percent of clinicians who prescribed the specific guideline medications for patients with the same diagnosis are not yet available
84,1,M1,
