"ID","TREATMENT_GROUP_ID","NAME","ABBREVIATION","VALID","GENERIC_NAME","AMT_GRACE_PERIOD","AMT_DOSE_RANGE","AMT_RESPONSE_TIME","ADMINISTRATION_MECHANISM","ALT_NAME_PATTERN","DAILY_HIGH_DOSE","DAILY_LOW_DOSE","DISPLAY_NAME","DRUG_FUNCTION","DURATION_OF_ACTION","FORMULATION_PATTERN","GENERIC_NAME_PATTERN","GUIDELINE_CHART_NAME","LAB_NAME_PATTERN","LONG_ACTING","LONG_ACTING_FREQUENCY","MAX_DOSE","MDD_DAILY_HIGH_DOSE","MDD_DAILY_LOW_DOSE","MDD_START_DOSE","RESPONSE_TIME","SERUM_LEVEL_HIGH","SERUM_LEVEL_LOW","SERUM_LEVEL_UNIT","START_DOSE","UNIT"
"28","13","Perphenazine","Perphenazine","TRUE","perphenazine","7.0","50.0","50.0","ORAL","","24.0","12.0","perphenazine","ANTIPSYCHOTIC","1.0","","perphenazine","perphenazine","","FALSE","0.0","24.0","0.0","0.0","0.0","28.0","0.0","0.0",,"12.0","MG"
"29","13","Fluphenazine","Fluphenazine","TRUE","fluphenazine","7.0","50.0","50.0","ORAL","","40.0","2.5","fluphenazine hcl","ANTIPSYCHOTIC","1.0","","fluphenazine hcl","fluphenazine","","FALSE","0.0","40.0","0.0","0.0","0.0","28.0","0.0","0.0",,"2.5","MG"
"30","13","Haloperidol","Haloperidol","TRUE","haloperidol","7.0","50.0","50.0","ORAL","","15.0","1.0","haloperidol","ANTIPSYCHOTIC","1.0","","haloperidol","haloperidol","","FALSE","0.0","100.0","0.0","0.0","0.0","28.0","0.0","0.0",,"1.0","MG"
"31","13","Fluphenazine decanoate","Fluphenazine decanoate","TRUE","fluphenazine decanoate","7.0","50.0","50.0","INJECTION","","25.0","6.25","fluphenazine decanoate (IM-LA)","ANTIPSYCHOTIC","14.0","","fluphenazine decanoate","fluphenazine","","FALSE","14.0","25.0","0.0","0.0","0.0","28.0","0.0","0.0",,"12.5","Q2_4WKS"
"32","13","Haloperidol decanoate","Haloperidol decanoate","TRUE","haloperidol decanoate","7.0","50.0","50.0","INJECTION","","150.0","25.0","haloperidol decanoate (IM-LA)","ANTIPSYCHOTIC","28.0","","haloperidol decanoate","haloperidol","","FALSE","28.0","0.0","0.0","0.0","0.0","28.0","0.0","0.0","","10.0","Q3_5WKS"
"37","11","Aripiprazole","Aripiprazole","TRUE","aripiprazole","7.0","50.0","50.0","ORAL","","15.0","10.0","aripiprazole","ANTIPSYCHOTIC","1.0","","aripiprazole","aripiprazole","","FALSE","0.0","30.0","15.0","10.0","10.0","28.0","0.0","0.0",,"10.0","MG"
"38","11","Olanzapine","Olanzapine","TRUE","olanzapine","7.0","50.0","50.0","ORAL","","15.0","10.0","olanzapine","ANTIPSYCHOTIC","1.0","","olanzapine","olanzapine","","FALSE","0.0","20.0","0.0","0.0","0.0","28.0","0.0","0.0",,"5.0","MG"
"39","11","Quetiapine","Quetiapine","TRUE","quetiapine","7.0","50.0","50.0","ORAL","","750.0","150.0","quetiapine","ANTIPSYCHOTIC","1.0","","quetiapine","quetiapine","","FALSE","0.0","800.0","0.0","0.0","0.0","28.0","0.0","0.0",,"25.0","MG"
"40","11","Risperidone","Risperidone","TRUE","risperidone","7.0","50.0","50.0","ORAL","","8.0","4.0","risperidone","ANTIPSYCHOTIC","1.0","","risperidone","risperidone","","FALSE","0.0","16.0","0.0","0.0","0.0","28.0","0.0","0.0",,"2.0","MG"
"41","11","Ziprasidone","Ziprasidone","TRUE","ziprasidone","7.0","50.0","50.0","ORAL","","160.0","40.0","ziprasidone hcl","ANTIPSYCHOTIC","1.0","","ziprasidone hcl","ziprasidone","","FALSE","0.0","160.0","0.0","0.0","0.0","28.0","0.0","0.0",,"40.0","MG"
"42","14","Amitriptyline","Amitriptyline","TRUE","amitriptyline","7.0","50.0","50.0","ORAL","","150.0","75.0","amitriptyline","ANTIDEPRESSANT","1.0","","amitriptyline","amitriptyline","","FALSE","0.0","200.0","0.0","0.0","0.0","42.0","0.0","0.0",,"75.0","MG"
"43","14","Desipramine","Desipramine","TRUE","desipramine","7.0","50.0","50.0","ORAL","","200.0","100.0","desipramine","ANTIDEPRESSANT","1.0","","desipramine","desipramine","","FALSE","0.0","200.0","0.0","0.0","0.0","42.0","0.0","0.0",,"100.0","MG"
"44","14","Doxepin","Doxepin","TRUE","doxepin","7.0","50.0","50.0","ORAL","","150.0","75.0","doxepin","ANTIDEPRESSANT","1.0","","doxepin","doxepin","","FALSE","0.0","200.0","0.0","0.0","0.0","42.0","0.0","0.0",,"75.0","MG"
"45","14","Imipramine hcl","Imipramine hcl","TRUE","imipramine hcl","7.0","50.0","50.0","ORAL","","300.0","100.0","imipramine hcl","ANTIDEPRESSANT","1.0","","imipramine hcl","imipramine","","FALSE","0.0","300.0","0.0","0.0","0.0","42.0","0.0","0.0",,"100.0","MG"
"46","14","Nortriptyline","Nortriptyline","FALSE","nortriptyline","7.0","50.0","50.0","ORAL","","200.0","50.0","nortriptyline","ANTIDEPRESSANT","1.0","","nortriptyline","nortriptyline","","FALSE","0.0","200.0","0.0","0.0","0.0","42.0","0.0","0.0",,"25.0","MG"
"47","16","Phenelzine","Phenelzine","TRUE","phenelzine","7.0","50.0","50.0","ORAL","","60.0","45.0","phenelzine","ANTIDEPRESSANT","1.0","","phenelzine","phenelzine","","FALSE","0.0","90.0","0.0","0.0","0.0","42.0","0.0","0.0",,"45.0","MG"
"48","16","Tranylcypromine","Tranylcypromine","TRUE","tranylcypromine","7.0","50.0","50.0","ORAL","","60.0","30.0","tranylcypromine","ANTIDEPRESSANT","1.0","","tranylcypromine","tranylcypromine","","FALSE","0.0","60.0","0.0","0.0","0.0","42.0","0.0","0.0",,"30.0","MG"
"49","16","Selegiline","Selegiline","TRUE","selegiline","7.0","50.0","50.0","ORAL","","12.0","6.0","selegiline (Patch24)","ANTIDEPRESSANT","1.0","","selegiline","selegiline","","FALSE","0.0","12.0","0.0","0.0","0.0","42.0","0.0","0.0",,"6.0","MG"
"50","18","Bupropion hcl","Bupropion hcl","TRUE","bupropion hcl","7.0","50.0","50.0","ORAL","","300.0","200.0","bupropion hcl","ANTIDEPRESSANT","1.0","","bupropion hcl","bupropion","","FALSE","0.0","450.0","0.0","0.0","0.0","42.0","0.0","0.0",,"200.0","MG"
"51","20","Mirtazapine","Mirtazapine","TRUE","mirtazapine","7.0","50.0","50.0","ORAL","","45.0","15.0","mirtazapine","ANTIDEPRESSANT","1.0","","mirtazapine","mirtazapine","","FALSE","0.0","45.0","0.0","0.0","0.0","42.0","0.0","0.0",,"15.0","MG"
"52","11","Clozapine","Clozapine","TRUE","clozapine","7.0","50.0","50.0","ORAL","","900.0","100.0","clozapine","ANTIPSYCHOTIC","1.0","","clozapine","clozapine","","FALSE","0.0","900.0","0.0","0.0","0.0","84.0","0.0","0.0",,"12.5","MG"
"54","17","Carbamazepine","Carbamazepine","TRUE","carbamazepine","7.0","50.0","50.0","ORAL","","1200.0","800.0","carbamazepine","MOOD_STABILIZER","1.0","","carbamazepine","carbamazepine","carbamazepine","FALSE","0.0","1200.0","0.0","0.0","0.0","28.0","10.0","6.0","mcg/mL","400.0","MG"
"55","17","Lamotrigine","Lamotrigine","TRUE","lamotrigine","7.0","50.0","50.0","ORAL","","400.0","100.0","lamotrigine","MOOD_STABILIZER","1.0","","lamotrigine","lamotrigine","","FALSE","0.0","400.0","0.0","0.0","0.0","28.0","0.0","0.0",,"25.0","MG"
"56","17","Lithium","Lithium","TRUE","lithium","7.0","50.0","50.0","ORAL","","1200.0","900.0","lithium carbonate","MOOD_STABILIZER","1.0","","lithium carbonate","lithium","lithium","FALSE","0.0","1800.0","0.0","0.0","0.0","28.0","1.2","0.6","mEq/L","600.0","MG"
"57","17","Divalproex","Divalproex","TRUE","divalproex","7.0","50.0","50.0","ORAL","","-1.0","-1.0","divalproex","MOOD_STABILIZER","1.0","","divalproex","divalproex","divalproex","FALSE","0.0","60.0","0.0","0.0","0.0","28.0","100.0","50.0","mcg/mL","15.0","MG_PER_KG"
"59","19","Buspirone","Buspirone","TRUE","buspirone","7.0","50.0","50.0","ORAL","","30.0","20.0","buspirone","ANTIANXIETY","1.0","","buspirone","buspirone","","FALSE","0.0","60.0","0.0","0.0","0.0","28.0","0.0","0.0",,"15.0","MG"
"60","21","Liothyronine","Liothyronine","TRUE","liothyronine","7.0","50.0","50.0","ORAL","","75.0","25.0","liothyronine","HORMONE","1.0","","liothyronine","liothyronine","","FALSE","0.0","75.0","0.0","0.0","0.0","28.0","0.0","0.0",,"25.0","MCG"
"61","16","Isocarboxazid","Isocarboxazid","TRUE","isocarboxazid","7.0","50.0","50.0","ORAL","","40.0","20.0","isocarboxazid","ANTIDEPRESSANT","1.0","","isocarboxazid","isocarboxazid","","FALSE","0.0","60.0","0.0","0.0","0.0","42.0","0.0","0.0",,"20.0","MG"
"62","16","Moclobemide","Moclobemide","FALSE","moclobemide","7.0","50.0","50.0","ORAL","","600.0","300.0","moclobemide","ANTIDEPRESSANT","1.0","","moclobemide","moclobemide","","FALSE","0.0","600.0","0.0","0.0","0.0","42.0","0.0","0.0",,"150.0","MG"
"63","14","Trimipramine","Trimipramine","TRUE","trimipramine","7.0","50.0","50.0","ORAL","","150.0","75.0","trimipramine","ANTIDEPRESSANT","1.0","","trimipramine","trimipramine","","FALSE","0.0","200.0","0.0","0.0","0.0","42.0","0.0","0.0",,"75.0","MG"
"64","14","Protriptyline","Protriptyline","TRUE","protriptyline","7.0","50.0","50.0","ORAL","","40.0","15.0","protriptyline","ANTIDEPRESSANT","1.0","","protriptyline","protriptyline","","FALSE","0.0","60.0","0.0","0.0","0.0","42.0","0.0","0.0",,"15.0","MG"
"65","14","Maprotiline","Maprotiline","TRUE","maprotiline","7.0","50.0","50.0","ORAL","","150.0","75.0","maprotiline","ANTIDEPRESSANT","1.0","","maprotiline","maprotiline","","FALSE","0.0","225.0","0.0","0.0","0.0","42.0","0.0","0.0",,"75.0","MG"
"66","11","Paliperidone","Paliperidone","TRUE","paliperidone","7.0","50.0","50.0","ORAL","","12.0","6.0","paliperidone (Ext Rel24)","ANTIPSYCHOTIC","1.0","","paliperidone","paliperidone","","FALSE","0.0","12.0","0.0","0.0","0.0","28.0","0.0","0.0",,"6.0","MG"
"67","11","Lurasidone","Lurasidone","TRUE","lurasidone","7.0","50.0","50.0","ORAL","","80.0","40.0","lurasidone","ANTIPSYCHOTIC","1.0","","lurasidone","lurasidone","","FALSE","0.0","80.0","0.0","0.0","0.0","28.0","0.0","0.0",,"40.0","MG"
"68","11","Asenapine SubLing","Asenapine SubLing","TRUE","asenapine SubLing","7.0","50.0","50.0","ORAL","","20.0","10.0","asenapine (Sub Ling)","ANTIPSYCHOTIC","1.0","","asenapine","asenapine","","FALSE","0.0","20.0","0.0","0.0","0.0","28.0","0.0","0.0",,"10.0","MG"
"69","11","Iloperidone","Iloperidone","TRUE","iloperidone","7.0","50.0","50.0","ORAL","","24.0","12.0","iloperidone","ANTIPSYCHOTIC","1.0","","iloperidone","iloperidone","","FALSE","0.0","24.0","0.0","0.0","0.0","28.0","0.0","0.0",,"2.0","MG"
"71","10","Paroxetine CR","Paroxetine CR","TRUE","paroxetine CR","7.0","50.0","50.0","ORAL","","62.5","25.0","paroxetine hcl (Ext Rel24)","ANTIDEPRESSANT","1.0",".*elease.*","paroxetine hcl","paroxetine","","FALSE","0.0","62.5","0.0","0.0","0.0","42.0","0.0","0.0",,"25.0","MG"
"73","22","OFC","Olanzapine+Fluoxetine","TRUE","ofc","7.0","0.0","0.0","ORAL","","0.0","0.0","","COMBINATION","1.0","","olanzapine-fluoxetine","","","FALSE","0.0","0.0","0.0","0.0","0.0","28.0","0.0","0.0",,"0.0","MG"
"80","10","Fluoxetine EC","Fluoxetine EC","TRUE","fluoxetine EC","7.0","50.0","50.0","ORAL","","0.0","0.0","fluoxetine (Del Rel EC-LA)","ANTIDEPRESSANT","7.0",".*elease.*","fluoxetine","fluoxetine","","FALSE","7.0","90.0","0.0","0.0","0.0","42.0","0.0","0.0",,"90.0","MG"
"81","10","Fluvoxamine CR","Fluvoxamine CR","TRUE","fluvoxamine CR","7.0","50.0","50.0","ORAL","","300.0","100.0","fluvoxamine (Ext Rel24)","ANTIDEPRESSANT","1.0",".*elease.*","fluvoxamine","fluvoxamine","","FALSE","0.0","300.0","0.0","0.0","0.0","42.0","0.0","0.0",,"100.0","MG"
"83","10","Paroxetine Mesylate","Paroxetine Mesylate","TRUE","paroxetine mesylate","7.0","50.0","50.0","ORAL","","50.0","20.0","paroxetine mesylate","ANTIDEPRESSANT","1.0","","paroxetine mesylate","paroxetine","","FALSE","0.0","50.0","0.0","0.0","0.0","42.0","0.0","0.0",,"20.0","MG"
"84","12","Venlafaxine ER","Venlafaxine ER","TRUE","venlafaxine er","7.0","50.0","50.0","ORAL","","225.0","37.5","venlafaxine (Ext Rel24)","ANTIDEPRESSANT","1.0",".*elease.*","venlafaxine","venlafaxine","","FALSE","0.0","225.0","0.0","0.0","0.0","42.0","0.0","0.0",,"37.5","MG"
"85","18","Bupropion hbr","Bupropion hbr","TRUE","bupropion hbr","7.0","50.0","50.0","ORAL","","348.0","174.0","bupropion hbr (Ext Rel24)","ANTIDEPRESSANT","1.0","","bupropion hbr","bupropion","","FALSE","0.0","522.0","0.0","0.0","0.0","42.0","0.0","0.0",,"174.0","MG"
"86","18","Bupropion hcl ER","Bupropion hcl ER","TRUE","bupropion hcl er","7.0","50.0","50.0","ORAL","","300.0","150.0","bupropion hcl (Ex Rel)","ANTIDEPRESSANT","1.0",".*elease.*","bupropion hcl","bupropion","","FALSE","0.0","400.0","0.0","0.0","0.0","42.0","0.0","0.0",,"150.0","MG"
"87","18","Bupropion hcl ER24","Bupropion hcl ER24","TRUE","bupropion hcl er24","7.0","50.0","50.0","ORAL","","300.0","150.0","bupropion hcl (Ex Rel24)","ANTIDEPRESSANT","1.0",".*elease.*24.*","bupropion hcl","bupropion","","FALSE","0.0","400.0","0.0","0.0","0.0","42.0","0.0","0.0",,"150.0","MG"
"88","20","Mirtazapine RapDis","Mirtazapine RapDis","TRUE","mirtazapine RapDis","7.0","50.0","50.0","ORAL","","45.0","15.0","mirtazapine (Rap Dis)","ANTIDEPRESSANT","1.0",".*rapid.*","mirtazapine","mirtazapine","","FALSE","0.0","45.0","0.0","0.0","0.0","42.0","0.0","0.0",,"15.0","MG"
"89","14","Imipramine pamoate","Imipramine pamoate","TRUE","imipramine pamoate","7.0","50.0","50.0","ORAL","","150.0","75.0","imipramine pamoate","ANTIDEPRESSANT","1.0","","imipramine pamoate","imipramine","","FALSE","0.0","200.0","0.0","0.0","0.0","42.0","0.0","0.0",,"75.0","MG"
"90","11","Aripiprazole RapDis","Aripiprazole RapDis","TRUE","aripiprazole RapDis","7.0","50.0","50.0","ORAL","","15.0","10.0","aripiprazole (Rap Dis)","ANTIPSYCHOTIC","1.0",".*rapid.*","aripiprazole","aripiprazole","","FALSE","0.0","30.0","15.0","10.0","10.0","28.0","0.0","0.0",,"10.0","MG"
"91","11","Olanzapine RapDis","Olanzapine RapDis","TRUE","olanzapine RapDis","7.0","50.0","50.0","ORAL","","15.0","10.0","olanzapine (Rap Dis)","ANTIPSYCHOTIC","1.0",".*rapid.*","olanzapine","olanzapine","","FALSE","0.0","20.0","0.0","0.0","0.0","28.0","0.0","0.0",,"5.0","MG"
"92","11","Olanzapine pamoate","Olanzapine pamoate","TRUE","olanzapine pamoate","7.0","50.0","50.0","ORAL","","15.0","10.0","olanzapine (Susp)","ANTIPSYCHOTIC","1.0",".*suspension.*","olanzapine","olanzapine","","FALSE","0.0","20.0","0.0","0.0","0.0","28.0","0.0","0.0",,"5.0","MG"
"93","11","Quetiapine ER","Quetiapine ER","TRUE","quetiapine er","7.0","50.0","50.0","ORAL","","800.0","400.0","quetiapine (Ext Rel24)","ANTIPSYCHOTIC","1.0",".*release.*","quetiapine","quetiapine","","FALSE","0.0","800.0","0.0","0.0","0.0","28.0","0.0","0.0",,"300.0","MG"
"94","11","Risperidone RapDis","Risperidone RapDis","TRUE","risperidone RapDis","7.0","50.0","50.0","ORAL","","8.0","4.0","risperidone (Rap Dis)","ANTIPSYCHOTIC","1.0",".*rapid.*","risperidone","risperidone","","FALSE","0.0","16.0","0.0","0.0","0.0","28.0","0.0","0.0",,"2.0","MG"
"95","11","Risperidone microspheres","Risperidone microspheres","TRUE","risperidone microspheres","7.0","50.0","50.0","INJECTION","","50.0","25.0","risperidone microspheres (IM-LA)","ANTIPSYCHOTIC","14.0","","risperidone microspheres","risperidone","","FALSE","14.0","50.0","0.0","0.0","0.0","28.0","0.0","0.0",,"25.0","MG"
"96","11","Paliperidone Palmitate","Paliperidone Palmitate","TRUE","paliperidone palmitate","7.0","50.0","50.0","INJECTION","","234.0","39.0","paliperidone palmitate (IM-LA)","ANTIPSYCHOTIC","28.0","","paliperidone palmitate","paliperidone","","FALSE","28.0","234.0","0.0","0.0","0.0","28.0","0.0","0.0",,"39.0","MG"
"97","11","Iloperidone DosePack","Iloperidone DosePack","TRUE","iloperidone DosePack","7.0","50.0","50.0","ORAL","","24.0","12.0","iloperidone (Dose Pack)","ANTIPSYCHOTIC","1.0",".*pack.*","iloperidone","iloperidone","","FALSE","0.0","24.0","0.0","0.0","0.0","28.0","0.0","0.0",,"2.0","MG"
"98","11","Clozapine RapDis","Clozapine RapDis","TRUE","clozapine RapDis","7.0","50.0","50.0","ORAL","","900.0","100.0","clozapine (Rap Dis)","ANTIPSYCHOTIC","1.0",".*rapid.*","clozapine","clozapine","","FALSE","0.0","900.0","0.0","0.0","0.0","84.0","0.0","0.0",,"12.5","MG"
"99","17","Lamotrigine RapDis","Lamotrigine RapDis","TRUE","lamotrigine RapDis","7.0","50.0","50.0","ORAL","","400.0","100.0","lamotrigine (Rap Dis)","MOOD_STABILIZER","1.0",".*rapid.*","lamotrigine","lamotrigine","","FALSE","0.0","400.0","0.0","0.0","0.0","28.0","0.0","0.0",,"25.0","MG"
"100","17","Lamotrigine ExtRel","Lamotrigine ExtRel","TRUE","lamotrigine ExtRel","7.0","50.0","50.0","ORAL","","400.0","100.0","lamotrigine (Ext Rel24)","MOOD_STABILIZER","1.0",".*extend.*","lamotrigine","lamotrigine","","FALSE","0.0","400.0","0.0","0.0","0.0","28.0","0.0","0.0",,"25.0","MG"
"101","17","Lamotrigine DosePk","Lamotrigine DosePk","TRUE","lamotrigine DosePk","7.0","50.0","50.0","ORAL","","400.0","100.0","lamotrigine (Dose Pack)","MOOD_STABILIZER","1.0",".*dose.*","lamotrigine","lamotrigine","","FALSE","0.0","400.0","0.0","0.0","0.0","28.0","0.0","0.0",,"25.0","MG"
"102","17","Lamotrigine DosePk RapDis","Lamotrigine DosePk RapDis","TRUE","lamotrigine DosePk RapDis","7.0","50.0","50.0","ORAL","","400.0","100.0","lamotrigine (Rap Dis Dose Pack)","MOOD_STABILIZER","1.0",".*rapid.*dose.*","lamotrigine","lamotrigine","","FALSE","0.0","400.0","0.0","0.0","0.0","28.0","0.0","0.0",,"25.0","MG"
"103","17","Lamotrigine DosePk ExtRel","Lamotrigine DosePk ExtRel","TRUE","lamotrigine DosePk ExtRel","7.0","50.0","50.0","ORAL","","400.0","100.0","lamotrigine (Ext Rel24 Dose Pack)","MOOD_STABILIZER","1.0",".*extend.*dose.*","lamotrigine","lamotrigine","","FALSE","0.0","400.0","0.0","0.0","0.0","28.0","0.0","0.0",,"25.0","MG"
"104","17","Lithium ExtRel","Lithium ExtRel","TRUE","lithium ExtRel","7.0","50.0","50.0","ORAL","","1200.0","900.0","lithium carbonate","MOOD_STABILIZER","1.0",".*release.*","lithium carbonate","lithium","lithium","FALSE","0.0","1800.0","0.0","0.0","0.0","28.0","1.2","0.6","mEq/L","600.0","MG"
"105","17","Divalproex DelRel","Divalproex DelRel","TRUE","divalproex DelRel","7.0","50.0","50.0","ORAL","","-1.0","-1.0","divalproex (Del Rel EC)","MOOD_STABILIZER","1.0",".*delay.*","divalproex","divalproex","divalproex","FALSE","0.0","60.0","0.0","0.0","0.0","28.0","100.0","50.0","mcg/mL","750.0","MG_PER_KG"
"106","17","Divalproex ExtRel","Divalproex ExtRel","TRUE","divalproex ExtRel","7.0","50.0","50.0","ORAL","","-1.0","-1.0","divalproex (Ext Rel24)","MOOD_STABILIZER","1.0",".*extend.*","divalproex","divalproex","divalproex","FALSE","0.0","60.0","0.0","0.0","0.0","28.0","125.0","85.0","mcg/mL","25.0","MG_PER_KG"
"107","17","Carbamazepine Multi","Carbamazepine Multi","TRUE","carbamazepine Multi","7.0","50.0","50.0","ORAL","","1200.0","800.0","carbamazepine (Multi 12hr)","MOOD_STABILIZER","1.0",".*multi.*","carbamazepine","carbamazepine","carbamazepine","FALSE","0.0","1200.0","0.0","0.0","0.0","28.0","10.0","6.0","mcg/mL","400.0","MG"
"108","17","Carbamazepine ExtRel","Carbamazepine ExtRel","TRUE","carbamazepine ExtRel","7.0","50.0","50.0","ORAL","","1200.0","800.0","carbamazepine (Ext Rel12)","MOOD_STABILIZER","1.0",".*extend.*","carbamazepine","carbamazepine","carbamazepine","FALSE","0.0","1200.0","0.0","0.0","0.0","28.0","10.0","6.0","mcg/mL","400.0","MG"
"109","22","Triavil","perphenazine-amitriptyline","TRUE","triavil","7.0","0.0","0.0","ORAL","","0.0","0.0","","COMBINATION","1.0","","perphenazine-amitriptyline","","","FALSE","0.0","0.0","0.0","0.0","0.0","28.0","0.0","0.0",,"0.0","MG"
