"ID","PRIORITY","MESSAGE_TAG","TEXT"
77,1,M111,"Lamotrigine is not a medication that is consistent with any of the guideline stages in the treatment of BPD(M) because it has limited demonstrated effectiveness in the treatment of a manic episode.  There is evidence, however, that lamotrigine may be effective as a prophylactic treatment for recurrent BPD(D).  Therefore, some clinicians might consider it an adjunctive medication in the treatment of BPD(M) in patients who have had a previous episode of BPD(D).  There is no evidence in the MQIP database that your patient has had a prior BPD(D) episode.  If your patient has had such an episode and you choose to prescribe prophylactic lamotrigine you might find the discussion on lamotrigine in the VA guidelines on the Management of Bipolar Disorder in Adults helpful. <br/><br/><a href=""http://www.healthquality.va.gov/Management_of_Bi.asp"" target=""_blank"">http://www.healthquality.va.gov/Management_of_Bi.asp</a>"
11,1,M301,"In clinical situations which require treatment with an antipsychotic medication the prescription of 2 antipsychotic medications in the same class, such as 2 second generation antipsychotics, is generally contraindicated because there is no evidence that more than one antipsychotic of the same class provides any additional clinical benefit.  An exception to this general guideline occurs when a medication of one class is being switched for a different medication of the same class.  In such cases the original medication is often tapered as the dose of the new medication is increased.  MQIP will see this as inconsistent with the guidelines until the original medication is finally discontinued."
12,1,M302,"In clinical situations which require treatment with an antidepressant medication the prescription of 2 antidepressant medications in the same class, such as 2 SSRIs, is generally contraindicated because there is no evidence that more than one antidepressant of the same class provides any additional clinical benefit.  An exception to this general guideline occurs when a medication of one class is being switched for a different medication of the same class.  In such cases the original medication is often tapered as the dose of the new medication is increased.  MQIP will see this as inconsistent with the guidelines until the original medication is finally discontinued."
13,1,M303,The prescription of an MAOI with an SSRI or a SNRI is always contraindicated because it may produce a lethal adverse reaction.
14,1,M304,The prescription of an SSRI with a SNRI is contraindicated because there is no evidence that the combination produces any clinical advantage over either drug alone.
15,1,M520,"Your patient is currently symptomatic (PHQ9 score of  > 15).  [Gender_pronoun] is not currently experiencing any clinically significant side effects.   There are several possibilities you might want to consider for further treatment.  First verify that the patient is still compliant with the medication(s) you prescribed.  Next, check whether the patient has had adequate medication trials on the prescribed antidepressant medications  and/or antipsychotic medications.  If not, consider increasing the dose of these medications, as tolerated, unless there are medical reasons for not doing so.  Try to change one medication at a time so if the patient has a positive responds it will be clear what medication caused the response.  If the patient is already at the maximum dose for these medications, consider switching to another antidepressant medication or antipsychotic medication in the same treatment stage.  Alternatively, consider moving the patient to the next stage of treatment."
16,1,M521,"Your patient is currently symptomatic and experiencing clinically significant side effects.  The following suggestions should be considered in the context of treating and managing the patient's side effects.<br/><br/>You might want to assess the treatment response first.  If [Gender_pronoun] has had an adequate medication trial, consider switching  [gender_possessive]  to another medication with a different mode of action because the current medication is not working.  This may make the side effect problem irrelevant.  If [gender_pronoun] has not had an adequate medication trial you might want to consider the nature and management of the side effects in your decision about how to proceed."
17,1,M522,"Your patient currently has a partial response to treatment (PHQ9 score of  6 - 15).  [Gender_pronoun] is not experiencing clinically significant side effects.  There are several possibilities you might want to consider for further treatment.  First verify that the patient is still compliant with the medication(s) you prescribed.  Next, check whether the patient has had adequate medication trials on the prescribed medications.  If not, consider increasing the dose of these medications, as tolerated, unless there are medical reasons for not doing so.  If the patient is already at the maximum dose for these medications it may be useful to prescribe an augmenting medication such as a second antidepressant medication, an  antipsychotic medication or lithium.  This may necessitate moving to the next stage of treatment."
18,1,M523,"Your patient currently has a partial response to treatment (PHQ9 score of  6 - 15).  [Gender_pronoun] is experiencing clinically significant side effects.  The following suggestions should be considered in the context of treating and managing the patient's side effects.<br/><br/>There are several possibilities you might want to consider for further treatment.  First verify that the patient is still compliant with the medication(s) you prescribed.  Next, check whether the patient has had adequate medication trials on the prescribed medications.  If not, consider increasing the dose of these medications, as tolerated, unless there are medical reasons for not doing so.  If the patient is already at the maximum dose for these medications it may be useful to prescribe an augmenting medication such as a second antidepressant medication, an  antipsychotic medication or lithium.  This may necessitate moving to the next stage of treatment.  All these suggestions should be considered in the context of treating and managing the patient's side effects."
19,1,M524,Your patient is not currently symptomatic (PHQ9 score of < 6) and is not experiencing clinically significant side effects.
20,1,M525,"Your patient is not currently symptomatic (PHQ9 score of < 6), but [gender_pronoun] is experiencing clinically significant side effects."
21,1,M530,"There appears to be general agreement in the clinical literature on how to manage side effects that emerge during psychopharmacological treatment.  The first step is to try lowering the medication causing the side effects.  The goal is to diminish or eradicate the side effects without affecting the therapeutic benefits of the medication.  If this approach is not successful an attempt can be made to address the side effects to make them tolerable.  This approach depends on the nature of the side effects.  If, for example, an SSRI is producing nausea, the dosing schedule for the medication can be changed so the patient takes the medication at meal time.  Similarly, if a patient experiences activation or insomnia when taking an antidepressant the medication can be administered in the morning when it will not interfere with sleep.  Some side effects, such as transitory anxiety associated with the initial stages of treatment with some antidepressant medications can be ameliorated with short term anxiolytic medications.  In some cases, simply slowing the rate of increase in the dose of the medication will allow the patient to accommodate to the side effects.  If the side effects cannot be effectively addressed the next option might be to change the medication.  If a patient has had a good clinical response to a medication, but is having problems with side effects, it might be useful to switch to another medication with the same mode of action but a different side effect profile.  If these approaches are not successful the patient may have to be switched to a medication with a completely different mode of action than the previous medications.  A more detailed discussion of side effects in the treatment of major depressive disorder can be found in the following resources.

<br/><br/><b>REFERENCES and RESOURCES</b>

<br/><br/>American Psychiatric Association. Practice Guideline for the Treatment of Patients With Major Depressive Disorder, 3rd Edition. 2010. Available from:
<a href=""http://psychiatryonline.org/content.aspx?bookid=28&amp;sectionid=1667485"" target=""_blank""> http://psychiatryonline.org/content.aspx?bookid=28&amp;sectionid=1667485</a>

<br/><br/>Department of Veteran Affairs, Department of Defense. VA/DoD clinical practice guideline for management of major depressive disorder (MDD). Washington, DC: Department of Veteran Affairs, Department of Defense - Office of Quality and Performance publication 10QCPG/MDD-08; 2009. Available from:
<a href=""http://www.healthquality.va.gov/Major_Depressive_Disorder_MDD_Clinical_Practice_Guideline.asp"" target=""_blank""> http://www.healthquality.va.gov/Major_Depressive_Disorder_MDD_Clinical_Practice_Guideline.asp</a>

<br/><br/>Schatzberg AF, Cole JO, DeBattista C, eds. Manual of Clinical Psychopharmacology. Washington, DC: American Psychiatric Publishing, Inc.; 2009.

<br/><br/> References:
<br/>

<a href=""http://www.ncbi.nlm.nih.gov/pubmed/22738351"" target=""_blank"">
http://www.ncbi.nlm.nih.gov/pubmed/22738351</a>
<br/>

<a href=""http://www.ncbi.nlm.nih.gov/pubmed/22862816"" target=""_blank"">
http://www.ncbi.nlm.nih.gov/pubmed/22862816</a>
<br/>"
22,1,M607a,Your patient's current [drs_name]  score and/or global rating scales scores were entered less than 3 days ago.  These scores will be used for the analysis of your patient's current clinical status unless you enter more current values for these scales.
23,1,M607b,Your patient's last  [drs_name]  and/or global rating scales were completed 3 or more days ago.  The  [drs_name]  was last completed on  [drs_date].  If there has been a significant change in the patient's clinical status since that time you should reassess the patient on these scales now.  The analysis of the patient's clinical status and the treatment suggestions made by MQIP depend on current information in these scales.  If the information is not current the analysis and suggestions should not be considered relevant.
24,1,M422a,"The patient's Brief Bipolar Disorder Symptom Scale (BDSS) score has decreased by [bdss_score_difference] points, which represents a decrease of [bdss_score_difference_percent]% since the patient's previous clinical evaluation.  The total BDSS score provides a measure of the intensity or acuity of all the patient's symptoms rather than focusing specifically on mania, depression, or psychosis.  In this case the overall severity of the patient's symptoms has decreased since the last appointment."
25,1,M422b,"The patient's BDSS score has increased by [bdss_score_difference] points, which represents an increase of [bdss_score_difference_percent]% since the patient's previous clinical evaluation.  The total BDSS score provides a measure of the intensity or acuity of all the patient's symptoms rather than focusing specifically on mania, depression, or psychosis.  In this case the overall severity of the patient's symptoms has increased since the last appointment.  The analysis of the manic, depressive, and psychotic subscales shown below may help you decide whether to adjust your patient's medications."
26,1,M422c,"The patient's BDSS score has not changed since the patient's previous clinical evaluation.  The total BDSS score provides a measure of the intensity or acuity of all the patient's symptoms rather than focusing specifically on mania, depression, or psychosis.  In this case the overall severity of the patient's symptoms has remained the same since the last appointment."
27,1,M561,"Your patient currently has one or more severe manic symptoms including: [bdss_score_manic_symptoms_severe].  [gender_pronoun] is not currently experiencing clinically significant side effects.  There are several possibilities you might want to consider for further treatment.  First verify that the patient is still compliant with the medication(s) you prescribed.  Next, check whether the patient has had adequate medication trials on the prescribed mood stabilizer and/or antipsychotic medications.  If not, consider increasing the dose of these medications, as tolerated, unless there are medical reasons for not doing so.  Try to change one medication at a time so if the patient has a positive responds it will be clear what medication caused the response.  Antipsychotics may be the most useful to control the patient's manic symptoms.  If the patient is already at the maximum dose for these medications, consider switching to another antipsychotic or mood stabilizer in the same treatment stage.  Alternatively, consider moving the patient to the next stage of treatment."
28,1,M562,"Your patient currently has one or more severe major depressive symptoms including:  [bdss_score_depress_symptoms_severe].  [gender_pronoun] is not currently experiencing clinically significant side effects.  There are several possibilities you might want to consider for further treatment.  First verify that the patient is still compliant with the medication(s) you prescribed.  Next, check whether the patient has had adequate medication trials on the prescribed medications, particularly mood stabilizers such as lamotrigine and antipsychotic medications.  If not, consider increasing the dose of these medications, as tolerated, unless there are medical reasons for not doing so.  It is usually best to raise the dose of one medication at a time so you can judge the effectiveness of the medication.  If the medications you want to adjust are already at maximum dose, you might want to consider changing to another medication at the same treatment stage or moving the patient to the next treatment stage."
29,1,M563,"Your patient currently has one or more severe manic symptoms including ( [bdss_score_manic_symptoms_severe] ), and one or more severe major depressive symptoms including, ( [bdss_score_depress_symptoms_severe] ).  [Gender_pronoun] is not currently experiencing clinically significant side effects.  There are several possibilities you might want to consider for further treatment.  First verify that the patient is still compliant with the medication(s) you prescribed.  Next, check whether the patient has had adequate medication trials on the prescribed medications, particularly mood stabilizers such as lamotrigine and antipsychotic medications.  If not, consider increasing the dose of these medications, as tolerated, unless there are medical reasons for not doing so.  It is usually best to raise the dose of one medication at a time so you can judge the effectiveness of the medication.  If the medications you want to adjust are already at maximum dose, you might want to consider changing to another medication at the same treatment stage or moving the patient to the next treatment stage."
30,1,M564,"Your patient currently does not have any severe manic, depressive or psychotic symptoms or side effects."
31,1,M565,"Your patient currently has one or more severe manic symptoms including:  [bdss_score_manic_symptoms_severe] and psychotic symptoms.   [gender_pronoun] is not currently experiencing clinically significant side effects.  There are several possibilities you might want to consider for further treatment.  First verify that the patient is still compliant with the medication(s) you prescribed.  Next, check whether the patient has had adequate medication trials on the prescribed medications.  Antipsychotic medications are particularly effective in the treatment of psychotic symptoms associated with severe mania.  If [gender_pronoun] is taking an antipsychotic medication that has not had an adequate medication trial, consider increasing the dose of [antipsychotic_treatment] to treat these symptoms.  If [gender_pronoun] is not taking an antipsychotic medication consider changing medications within the current stage to include an antipsychotic medication or moving the patient to the next treatment guideline stage that includes an antipsychotic medication."
32,1,M566,"Your patient currently has one or more severe major depressive symptoms including:  [bdss_score_depress_symptoms_severe] and psychotic symptoms.   [gender_pronoun] is not currently experiencing clinically significant side effects.  There are several possibilities you might want to consider for further treatment.  First verify that the patient is still compliant with the medication(s) you prescribed.  Next, check whether the patient has had adequate medication trials on the prescribed medications.  Antipsychotic medications, such as quetiapine can be effective in the treatment of psychosis associated with severe depressive symptoms in bipolar disorder.  If [gender_pronoun] is taking an antipsychotic medication that has not had an adequate medication trial, consider increasing the dose of [antipsychotic medication] to treat these symptoms.  If [gender_pronoun] is not taking an antipsychotic medication consider changing medications within the current stage to include an antipsychotic medication or moving the patient to the next treatment guideline stage that includes an antipsychotic medication.<br/><br/>See:  Frye M. Bipolar disorder - a focus on depression. N Engl J Med. 2011;364:51-9."
33,1,M567,"Your patient currently has severe psychotic symptoms in addition to one or more severe manic symptoms including, ( [bdss_score_manic_symptoms_severe] ), and one or more severe major depressive symptoms including, ( [bdss_score_depress_symptoms_severe] ).  [gender_pronoun] is not currently experiencing clinically significant side effects.  There are several possibilities you might want to consider for further treatment.  First verify that the patient is still compliant with the medication(s) you prescribed.  Next, check whether the patient has had adequate medication trials on the prescribed medications, particularly mood stabilizers such as lamotrigine and antipsychotic medications.  If not, consider increasing the dose of these medications, as tolerated, unless there are medical reasons for not doing so.  It is usually best to raise the dose of one medication at a time so you can judge the effectiveness of the medication.  If the medications you want to adjust are already at maximum dose, you might want to consider changing to another medication at the same treatment stage or moving the patient to the next treatment stage.  If your patient is not taking an antipsychotic medication consider changing medications within the current stage to include an antipsychotic medication or moving the patient to the next treatment guideline stage that includes an antipsychotic medication."
34,1,M568,"Your patient currently has severe psychotic symptoms.  [gender_pronoun] is not currently experiencing clinically significant side effects.  If your patient is taking an antipsychotic medication that has not had an adequate medication trial, consider increasing the dose of [antipsychotic medication] to treat these symptoms.  If [gender_pronoun] is not taking an antipsychotic medication consider changing medications within the current stage to include an antipsychotic medication or moving the patient to the next treatment guideline stage that includes an antipsychotic medication."
35,1,M569,"Your patient currently has one or more severe manic symptoms including: [bdss_score_manic_symptoms_severe].  [gender_pronoun] is also experiencing clinically significant side effects.  The following suggestions should be considered in the context of treating and managing the patient's side effects.<br/><br/>There are several possibilities you might want to consider for further treatment.  First verify that the patient is still compliant with the medication(s) you prescribed.  Next, check whether the patient has had adequate medication trials on the prescribed mood stabilizer and/or antipsychotic medications.  If not, consider increasing the dose of these medications, as tolerated, unless there are medical reasons for not doing so.  Try to change one medication at a time so if the patient has a positive responds it will be clear what medication caused the response.  Antipsychotics may be the most useful to control the patient's manic symptoms.  If the patient is already at the maximum dose for these medications, consider switching to another antipsychotic or mood stabilizer in the same treatment stage.  Alternatively, consider moving the patient to the next stage of treatment."
36,1,M570,"Your patient currently has one or more severe major depressive symptoms including:  [bdss_score_depress_symptoms_severe].  [gender_pronoun] is also experiencing clinically significant side effects.  The following suggestions should be considered in the context of treating and managing the patient's side effects.<br/><br/>There are several possibilities you might want to consider for further treatment.  First verify that the patient is still compliant with the medication(s) you prescribed.  Next, check whether the patient has had adequate medication trials on the prescribed medications, particularly mood stabilizers such as lamotrigine and antipsychotic medications.  If not, consider increasing the dose of these medications, as tolerated, unless there are medical reasons for not doing so.  It is usually best to raise the dose of one medication at a time so you can judge the effectiveness of the medication.  If the medications you want to adjust are already at maximum dose, you might want to consider changing to another medication at the same treatment stage or moving the patient to the next treatment stage."
37,1,M571,"Your patient currently has one or more severe manic symptoms including ( [bdss_score_manic_symptoms_severe] ), and one or more severe major depressive symptoms including, ( [bdss_score_depress_symptoms_severe] ).  [gender_pronoun] is also  currently experiencing clinically significant side effects.  The following suggestions should be considered in the context of treating and managing the patient's side effects.<br/><br/>There are several possibilities you might want to consider for further treatment.  First verify that the patient is still compliant with the medication(s) you prescribed.  Next, check whether the patient has had adequate medication trials on the prescribed medications, particularly mood stabilizers such as lamotrigine and antipsychotic medications.  If not, consider increasing the dose of these medications, as tolerated, unless there are medical reasons for not doing so.  It is usually best to raise the dose of one medication at a time so you can judge the effectiveness of the medication.  If the medications you want to adjust are already at maximum dose, you might want to consider changing to another medication at the same treatment stage or moving the patient to the next treatment stage."
38,1,M572,"Your patient currently does not have any severe manic, depressive or psychotic symptoms, but  [gender_pronoun] is also experiencing clinically significant side effects.  The following suggestions should be considered in the context of treating and managing the patient's side effects.<br/><br/>If  [gender_pronoun]  is taking more than one medication try to initially determine which of the patient's medications is most likely to be the cause of the side effects. Since the patient's psychiatric symptoms are stable you might consider decreasing the dose of the suspected medication to see if the side effects decrease to a manageable level without causing an exacerbation of the patient's main psychiatric symptoms.  If this isn't possible you might try to treat the side effects directly.  If neither of these approaches are successful consider changing the patient's medication to a medication in the current stage with a different mode of action.  If that doesn't work think about moving the patient to the next stage in the guideline."
39,1,M573,"Your patient currently has one or more severe manic symptoms including:  [bdss_score_manic_symptoms_severe] and psychotic symptoms.   [gender_pronoun] is also experiencing clinically significant side effects.  The following suggestions should be considered in the context of treating and managing the patient's side effects.<br/><br/>There are several possibilities you might want to consider for further treatment.  First verify that the patient is still compliant with the medication(s) you prescribed.  Next, check whether the patient has had adequate medication trials on the prescribed medications.  Antipsychotic medications are particularly effective in the treatment of psychotic symptoms associated with severe mania.  If [gender_pronoun] is taking an antipsychotic medication that has not had an adequate medication trial, consider increasing the dose of [antipsychotic medication] to treat these symptoms.  If [gender_pronoun] is not taking an antipsychotic medication consider changing medications within the current stage to include an antipsychotic medication or moving the patient to the next treatment guideline stage that includes an antipsychotic medication."
40,1,M574,"Your patient currently has one or more severe major depressive symptoms including:  [bdss_score_depress_symptoms_severe] and psychotic symptoms.   [gender_pronoun] is also currently experiencing clinically significant side effects.  The following suggestions should be considered in the context of treating and managing the patient's side effects.<br/><br/>There are several possibilities you might want to consider for further treatment.  First verify that the patient is still compliant with the medication(s) you prescribed.  Next, check whether the patient has had adequate medication trials on the prescribed medications.  Antipsychotic medications, such as quetiapine can be effective in the treatment of psychosis associated with severe depressive symptoms in bipolar disorder.  If [gender_pronoun] is taking an antipsychotic medication that has not had an adequate medication trial, consider increasing the dose of [antipsychotic medication] to treat these symptoms.  If [gender_pronoun] is not taking an antipsychotic medication consider changing medications within the current stage to include an antipsychotic medication or moving the patient to the next treatment guideline stage that includes an antipsychotic medication.   <br/><br/>See:  Frye M. Bipolar disorder - a focus on depression. N Engl J Med. 2011;364:51-9."
41,1,M575,"Your patient currently has severe psychotic symptoms in addition to one or more severe manic symptoms including, ( [bdss_score_manic_symptoms_severe] ), and one or more severe major depressive symptoms including, ( [bdss_score_depress_symptoms_severe] ).  [Gender_pronoun] is also currently experiencing clinically significant side effects.  The following suggestions should be considered in the context of treating and managing the patient's side effects.<br/><br/>There are several possibilities you might want to consider for further treatment.  First verify that the patient is still compliant with the medication(s) you prescribed.  Next, check whether the patient has had adequate medication trials on the prescribed medications, particularly mood stabilizers such as lamotrigine and antipsychotic medications.  If not, consider increasing the dose of these medications, as tolerated, unless there are medical reasons for not doing so.  It is usually best to raise the dose of one medication at a time so you can judge the effectiveness of the medication.  If the medications you want to adjust are already at maximum dose, you might want to consider changing to another medication at the same treatment stage or moving the patient to the next treatment stage.  If your patient is not taking an antipsychotic medication consider changing medications within the current stage to include an antipsychotic medication or moving the patient to the next treatment guideline stage that includes an antipsychotic medication."
42,1,M576,"Your patient currently has severe psychotic symptoms.  [gender_pronoun] is also experiencing clinically significant side effects.  The following suggestions should be considered in the context of treating and managing the patient's side effects.<br/><br/>If your patient is taking an antipsychotic medication that has not had an adequate medication trial, consider increasing the dose of [antipsychotic medication] to treat these symptoms.  If [gender_pronoun] is not taking an antipsychotic medication consider changing medications within the current stage to include an antipsychotic medication or moving the patient to the next treatment guideline stage that includes an antipsychotic medication."
43,1,M580,"There appears to be general agreement in the clinical literature on how to manage side effects that emerge during psychopharmacological treatment.  The first step is to try lowering the medication causing the side effects.  The goal is to diminish or eradicate the side effects without affecting the therapeutic benefits of the medication.  If this approach is not successful an attempt can be made to address the side effects to make them tolerable.  This approach depends on the nature of the side effects.  If, for example, an SSRI is producing nausea, the dosing schedule for the medication can be changed so the patient takes the medication at meal time.  Similarly, if a patient experiences activation or insomnia when taking an antidepressant the medication can be administered in the morning when it will not interfere with sleep.  Some side effects, such as transitory anxiety associated with the initial stages of treatment with some antidepressant medications can be ameliorated with short term anxiolytic medications.  In some cases, simply slowing the rate of increase in the dose of the medication will allow the patient to accommodate to the side effects.  If the side effects cannot be effectively addressed the next option might be to change the medication.  If a patient has had a good clinical response to a medication, but is having problems with side effects, it might be useful to switch to another medication with the same mode of action but a different side effect profile.  If these approaches are not successful the patient may have to be switched to a medication with a completely different mode of action than the previous medications.  <br/><br/>A more detailed discussion of side effects in the treatment of bipolar disorder can be found in the following resources.<br/><br/>Department of Veteran Affairs, Department of Defense. VA/DoD clinical practice guideline for management of bipolar disorder in adults (BD). Washington, DC: Department of Veteran Affairs, Department of Defense - Office of Quality and Performance publication 10QCPG/BD-07; 2009. Available from:<br/><a href=""http://www.healthquality.va.gov/Management_of_Bi.asp"" target=""_blank"">http://www.healthquality.va.gov/Management_of_Bi.asp</a>.<br/><br/>Goodwin GM. Evidence-based guidelines for treating bipolar disorder: revised second edition--recommendations from the British Association for Psychopharmacology. J Psychopharmacol [serial on the Internet]. 2009 Jun; 23(4): Available from: <br/><a href=""http://www.bap.org.uk/pdfs/Bipolar_guidelines.pdf"" target=""_blank"">http://www.bap.org.uk/pdfs/Bipolar_guidelines.pdf</a><br/><br/>Schatzberg AF, Cole JO, DeBattista C, eds. Manual of Clinical Psychopharmacology. Washington, DC: American Psychiatric Publishing, Inc.; 2009."
44,1,M481a,Your patient's current total manic symptom score is [bdss_score_manic_total].  [Gender_possessive] total mania score has decreased by [bdss_score_manic_total_difference] points from the previous determination.  This represents a decrease of [bdss_score_manic_total_difference_percent]%.  The total mania symptom score provides a measure of the intensity or acuity of all the patient's manic symptoms.  Depending on the magnitude of the  decrease this might be a routine statistical variation or it might suggest that the patient is responding to the current medications.
45,1,M481b,Your patient's current total manic symptom score is [bdss_score_manic_total].  [Gender_possessive]  total mania score has increased by [bdss_score_manic_total_difference] points from the previous determination.  This represents a increase of [bdss_score_manic_total_difference_percent]%.  The total mania symptom score provides a measure of the intensity or acuity of all the patient's manic symptoms.  Depending on the magnitude of the  increase this might be a routine statistical variation or it might suggest that the patient is not responding adequately to the current medications.
46,1,M481c,Your patient's current total manic symptom score is [bdss_score_manic_total].  [Gender_possessive]  total mania score has not changed since [gender_possessive] previous clinical evaluation.  The total mania symptom score provides a measure of the intensity or acuity of all the patient's manic symptoms.
47,1,M482a,Your patient's current total depressive symptom score is [bdss_score_depress_total].  [Gender_possessive]  total depressive score has decreased by [bdss_score_depress_total_difference] points from the previous determination.  This represents a decrease of [bdss_score_depress_total_difference_percent]%.  The total depressive symptom score provides a measure of the intensity or acuity of all the patient's depressive symptoms.  Depending on the percent decrease this might be a routine statistical variation or it might suggest that the patient is responding to the current medications.
48,1,M482b,Your patient's current total depressive symptom score is [bdss_score_depress_total].  [Gender_possessive]  total depressive score has increased by [bdss_score_depress_total_difference] points from the previous determination.  This represents a increase of [bdss_score_depress_total_difference_percent]%.  The total depressive symptom score provides a measure of the intensity or acuity of all the patient's depressive symptoms.  Depending on the percent increase this might be a routine statistical variation or it might suggest that the patient is not responding adequately to the current medications.
49,1,M482c,Your patient's current total depressive symptom score is [bdss_score_depress_total].  [Gender_possessive]  total depressive score has not changed since [gender_possessive] previous clinical evaluation.  The total depressive symptom score provides a measure of the intensity or acuity of all the patient's depressive symptoms.
50,1,M511,Your patient's highest PSRS score on record was [psrs_score_overall_max].  It occurred on [psrs_score_overall_max_dates]. [Gender_possessive] highest PSRS score in the last 6 months was [psrs_score_6month_max].  It occurred on [psrs_score_6month_max_dates].
51,1,M512a,Your patient's current PSRS score is [psrs_score].  This is [psrs_score_6month_difference] points or [psrs_score_6month_difference_percent]% below the highest PSRS score in the last 6 months which was [psrs_score_6month_max]. It last occurred on [psrs_score_6month_max_date_recent].
52,1,M512b,Your patient's current PSRS score is [psrs_score].  This is [psrs_score_6month_difference] points or [psrs_score_6month_difference_percent]% above the highest PSRS score in the last 6 months which was [psrs_score_6month_max]. It last occurred on [psrs_score_6month_max_date_recent].
53,1,M512c,Your patient's current PSRS score is [psrs_score].  This is the same as  [gender_possessive]  highest PSRS score in the last 6 months.  Which last occurred on [psrs_score_6month_max_date_recent].
54,1,M513,Your patient's highest Overall Functioning Impairment (OFI) global scale score on record was [ofi_score_overall_max].  It occurred on [ofi_score_overall_max_dates]. [Gender_possessive] highest OFI score in the last 6 months was [ofi_score_6month_max].  It occurred on [ofi_score_6month_max_dates].
55,1,M514a,Your patient's current OFI score is [ofi_score].  This is [ofi_score_6month_difference] points or [ofi_score_6month_difference_percent]% below the highest OFI score in the last 6 months which was [ofi_score_6month_max]. It last occurred on [ofi_score_6month_max_date_recent].
56,1,M514b,Your patient's current OFI score is [ofi_score].  This is [ofi_score_6month_difference] points or [ofi_score_6month_difference_percent]% above the highest OFI score in the last 6 months which was [ofi_score_6month_max]. It last occurred on [ofi_score_6month_max_date_recent].
57,1,M514c,Your patient's current OFI score is [ofi_score].  This is the same as  [His/Her]  highest OFI score in the last 6 months. It last occurred on [ofi_score_6month_max_date_recent]
58,1,M581,Your patient is currently in treatment stage  [diagnosis_stage].  [Gender_pronoun] is not currently symptomatic (PSRS score of < 7) and is not experiencing clinically significant side effects.
59,1,M582,"Your patient is currently in treatment stage  [diagnosis_stage].  [Gender_pronoun] has a partial response to treatment based on  [gender_possessive]  current PSRS score and the change in that score during treatment.  [Gender_pronoun] is not experiencing clinically significant side effects.  There are several possibilities you might want to consider for further treatment.  First verify that the patient is still compliant with the medication(s) you prescribed.  Next, check whether the patient has had adequate medication trials on  [gender_possessive]  antipsychotic  medication(s).  If not, consider increasing the dose of these medications, as tolerated, unless there are medical reasons for not doing so.  Some patients suffering from schizophrenia who have a partial response to treatment with antipsychotic may simply require a longer period of treatment to response to the medication."
